Time(Minutes),EntityID,ObjectName,ProcessID,StepName,Action
0,MyTransporter1[1],MyTransporter1[1],1.OnCapacityAllocated,[Assign] OnCapacityAllocatedAssignments,Assigning state variable 'MyTransporter1[1].OnEvaluatingRiderReservation.ReturnValue' the value '1'. Previous value was '1'.
0,MyTransporter1[1],MyTransporter1[1],1.OnCapacityAllocated,[Assign] OnCapacityAllocatedAssignments,Assigning state variable 'MyTransporter1[1].OnEvaluatingSeizeRequest.Enabled' the value '0'. Previous value was '1'.
0,MyTransporter1[1],MyTransporter1[1],1.OnCapacityAllocated,[Assign] OnCapacityAllocatedAssignments,Assigning state variable 'MyTransporter1[1].OnEvaluatingSeizeRequest.ReturnValue' the value '0'. Previous value was '1'.
0,MyTransporter1[1],MyTransporter1[1],1.OnCapacityAllocated,[Assign] OnCapacityAllocatedAssignments,Assigning state variable 'MyTransporter1[1].OnEvaluatingRiderAtPickup.Enabled' the value '1'. Previous value was '1'.
0,MyTransporter1[1],MyTransporter1[1],1.OnCapacityAllocated,[Assign] OnCapacityAllocatedAssignments,Assigning state variable 'MyTransporter1[1].OnEvaluatingRiderAtPickup.ReturnValue' the value '1'. Previous value was '1'.
0,MyTransporter1[1],MyTransporter1[1],1.OnCapacityAllocated,[Fire] AllocatedEvent,Firing event 'MyTransporter1[1].Allocated'.
0,MyTransporter1[1],MyTransporter1[1],1.OnCapacityAllocated,[End],Process 'MyTransporter1[1].OnCapacityAllocated' execution ended.
0,MyTransporter1[1],MyTransporter1[1],0.OnCreated,[Seize] Vehicle,Object 'MyTransporter1[1]' completed seize of '1' resource(s) of resource type '[ParentObject] MyTransporter1[1]'.
0,MyTransporter1[1],MyTransporter1[1],0.OnCreated,[SetNode] ToFirstDestination,Destination node of entity 'MyTransporter1[1]' set to value 'MyCoopNode12'.
0,MyTransporter1[1],MyTransporter1[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'MyTransporter1[1].OnEvaluatingRiderReservation.Enabled' the value '1'. Previous value was '1'.
0,MyTransporter1[1],MyTransporter1[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'MyTransporter1[1].OnEvaluatingRiderReservation.ReturnValue' the value '1'. Previous value was '1'.
0,MyTransporter1[1],MyTransporter1[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'MyTransporter1[1].OnEvaluatingSeizeRequest.Enabled' the value '0'. Previous value was '0'.
